,open,High,Low,Close,Volume
2024-03-05,192.0000,193.9400,190.5700,191.9500,5653641
2024-03-06,193.5000,198.1300,192.9600,196.1600,6945818
2024-03-07,197.5800,198.7300,196.1400,196.5400,4604458
2024-03-08,196.0600,197.7700,194.3800,195.9500,3943113
2024-03-11,195.0900,195.3800,190.8800,191.7300,4712688
2024-03-12,192.4600,199.1800,192.1500,197.7800,5862512
2024-03-13,197.5500,198.1000,195.3200,196.7000,3960737
2024-03-14,196.9500,197.7480,192.1200,193.4300,4102202
2024-03-15,191.9900,193.0573,190.7000,191.0700,8828184
2024-03-18,191.7000,193.2300,190.3200,191.6900,5410562
2024-03-19,191.4900,193.5800,190.2800,193.3400,5317341
2024-03-20,192.8700,193.9800,191.3100,193.9600,3238643
2024-03-21,193.0000,193.3700,190.0100,191.9000,6013561
2024-03-22,192.0000,192.9850,190.5100,190.8400,3988398
2024-03-25,190.2600,190.8200,188.7500,188.7900,3718289
2024-03-26,189.0200,190.0000,188.5000,188.5000,4229535
2024-03-27,189.6000,190.9600,188.6000,190.8000,3693305
2024-03-28,190.9400,191.9299,190.3400,190.9600,3742169
2024-04-01,190.0000,190.4600,188.5200,189.8300,2362586
2024-04-02,189.1400,189.8000,187.6000,188.8800,2689711
2024-04-03,188.6000,191.3500,188.4850,190.9000,2818910
2024-04-04,192.0000,193.2800,187.3400,187.9400,2924438
2024-04-05,188.5900,190.3200,188.0200,189.1400,2012428
2024-04-08,189.2400,190.2400,188.9118,189.8200,2673611
2024-04-09,190.5400,191.2500,186.6600,189.3100,2790673
2024-04-10,187.4200,187.9150,185.5200,186.0400,3081915
2024-04-11,186.0400,186.7950,184.5800,185.9000,2861736
2024-04-12,184.0000,185.1699,181.6850,182.2700,3547378
2024-04-15,185.5700,187.4800,180.8800,181.2500,3528140
2024-04-16,185.5900,185.7100,182.8600,183.7500,4473654
2024-04-17,184.1600,184.6700,181.7800,183.1000,3003033
2024-04-18,182.3500,183.4600,180.1700,181.4700,2886733
2024-04-19,182.4300,182.8000,180.5700,181.5800,3037990
2024-04-22,182.4500,183.3150,180.4500,181.9000,3076451
2024-04-23,182.7300,184.6800,179.0000,182.1900,5950229
2024-04-24,183.1700,184.2900,181.4000,184.1000,7616643
2024-04-25,168.2000,172.4500,165.6600,168.9100,16702150
2024-04-26,167.5000,167.8700,165.7300,167.1300,8983796
2024-04-29,167.4000,168.2200,166.2250,167.4300,5263342
