Date,Open,High,Low,Close,Volume,Moving Average[30],Volatility
2024-03-05,192.0,193.94,190.57,191.95,5653641,,
2024-03-06,193.5,198.13,192.96,196.16,6945818,,
2024-03-07,197.58,198.73,196.14,196.54,4604458,,
2024-03-08,196.06,197.77,194.38,195.95,3943113,,
2024-03-11,195.09,195.38,190.88,191.73,4712688,,
2024-03-12,192.46,199.18,192.15,197.78,5862512,,
2024-03-13,197.55,198.1,195.32,196.7,3960737,,
2024-03-14,196.95,197.748,192.12,193.43,4102202,,
2024-03-15,191.99,193.0573,190.7,191.07,8828184,,
2024-03-18,191.7,193.23,190.32,191.69,5410562,,
2024-03-19,191.49,193.58,190.28,193.34,5317341,,
2024-03-20,192.87,193.98,191.31,193.96,3238643,,
2024-03-21,193.0,193.37,190.01,191.9,6013561,,
2024-03-22,192.0,192.985,190.51,190.84,3988398,,
2024-03-25,190.26,190.82,188.75,188.79,3718289,,
2024-03-26,189.02,190.0,188.5,188.5,4229535,,
2024-03-27,189.6,190.96,188.6,190.8,3693305,,
2024-03-28,190.94,191.9299,190.34,190.96,3742169,,
2024-04-01,190.0,190.46,188.52,189.83,2362586,,
2024-04-02,189.14,189.8,187.6,188.88,2689711,,
2024-04-03,188.6,191.35,188.485,190.9,2818910,,
2024-04-04,192.0,193.28,187.34,187.94,2924438,,
2024-04-05,188.59,190.32,188.02,189.14,2012428,,
2024-04-08,189.24,190.24,188.9118,189.82,2673611,,
2024-04-09,190.54,191.25,186.66,189.31,2790673,,
2024-04-10,187.42,187.915,185.52,186.04,3081915,,
2024-04-11,186.04,186.795,184.58,185.9,2861736,,
2024-04-12,184.0,185.1699,181.685,182.27,3547378,,
2024-04-15,185.57,187.48,180.88,181.25,3528140,,
2024-04-16,185.59,185.71,182.86,183.75,4473654,191.02633333333333,3.500938281457515
2024-04-17,184.16,184.67,181.78,183.1,3003033,190.765,3.7120035950487913
2024-04-18,182.35,183.46,180.17,181.47,2886733,190.39333333333335,3.9774279796538496
2024-04-19,182.43,182.8,180.57,181.58,3037990,189.88833333333332,3.995229123232655
2024-04-22,182.45,183.315,180.45,181.9,3076451,189.43466666666666,4.042697745005329
2024-04-23,182.73,184.68,179.0,182.19,5950229,189.02266666666668,4.076155163820449
2024-04-24,183.17,184.29,181.4,184.1,7616643,188.71300000000002,4.158074114879079
2024-04-25,168.2,172.45,165.66,168.91,16702150,187.73466666666667,5.302485905837839
2024-04-26,167.5,167.87,165.73,167.13,8983796,186.75300000000001,6.189489505995402
2024-04-29,167.4,168.22,166.225,167.43,5263342,185.93333333333334,7.041601666026559
2024-04-30,166.49,166.76,165.2605,166.2,6011634,185.093,7.793773885564665
2024-05-01,165.69,166.27,164.3,164.43,4030960,184.233,8.4586442828297
2024-05-02,164.35,164.88,162.62,164.69,3829853,183.28233333333336,9.037344240402678
2024-05-03,165.0,166.61,164.92,165.71,3400405,182.34900000000002,9.43619493374238
2024-05-06,166.5,168.67,166.38,168.61,4222266,181.499,9.682165385476702
2024-05-07,169.0,169.29,167.94,168.38,3155260,180.79033333333334,9.796179932216786
2024-05-08,168.01,170.26,167.9,169.9,3522011,180.09,9.937536987569372
2024-05-09,167.5,167.55,165.88,166.27,4266616,179.35333333333335,10.026984740613935
2024-05-10,167.13,168.07,166.32,167.15,2255370,178.55966666666666,10.020554903532618
2024-05-13,167.5,168.06,166.76,167.56,2414859,177.80966666666666,9.97668678446914
2024-05-14,167.86,168.13,166.48,167.36,2600967,177.10033333333334,9.899527847791237
2024-05-15,167.94,168.35,167.34,168.26,4468823,176.41166666666666,9.789967448550424
2024-05-16,168.26,169.63,167.79,168.97,3492267,175.62033333333332,9.439695525237774
2024-05-17,168.97,169.11,167.33,169.03,2956387,174.96633333333332,9.186404678629112
2024-05-20,169.0,170.16,168.38,169.92,2726261,174.29166666666666,8.838620614542442
2024-05-21,169.94,174.97,169.94,173.47,6459800,173.605,8.317614358738215
2024-05-22,173.39,174.99,172.76,173.69,3294900,173.13733333333332,7.897902791611554
2024-05-23,175.39,175.46,170.435,170.67,3341335,172.7823333333333,7.528667365400666
2024-05-24,171.48,172.01,170.21,170.89,2587829,172.36499999999998,7.226338678034235
2024-05-28,170.44,171.085,168.65,169.66,2629645,171.86066666666665,6.787621051607719
2024-05-29,168.0,168.63,166.21,167.05,4206576,171.27433333333332,6.3031977015135885
2024-05-30,165.56,166.73,164.23,165.63,3852963,170.65433333333334,5.893479554929003
2024-05-31,165.7,166.97,163.84,166.85,4905002,170.0993333333333,5.526662604160689
2024-06-03,166.54,166.78,163.53,165.28,2776058,169.56966666666668,5.0445706446142715
2024-06-04,164.6,166.4,163.88,165.81,2594203,168.97466666666665,4.495810105614495
2024-06-05,166.41,167.79,165.78,167.38,3049377,168.43066666666667,3.688973255278384
2024-06-06,167.38,168.44,166.8,168.2,2207263,167.90433333333334,2.422540250308771
2024-06-07,168.18,171.305,168.06,170.01,3475495,167.90366666666668,2.422458829703296
2024-06-10,169.55,170.76,168.88,170.38,3444684,167.972,2.439532742145157
2024-06-11,169.98,170.0,166.81,169.32,2951251,168.058,2.4640258619328925
2024-06-12,171.35,172.47,168.101,169.0,3522698,168.21999999999997,2.5165836174159897
2024-06-13,169.01,169.59,168.335,169.12,3525717,168.33066666666667,2.4741308934975916
2024-06-14,168.29,169.47,167.23,169.21,2777717,168.462,2.3573573749225463
2024-06-17,168.76,169.72,167.5,169.5,3239815,168.58733333333333,2.265094857316563
2024-06-18,170.0,170.75,168.38,170.55,3386442,168.704,2.24391376071263
2024-06-20,174.08,174.28,171.22,173.92,4723078,168.87333333333333,2.4492987502169554
2024-06-21,173.97,174.96,171.4,172.46,10182025,169.072,2.613093555736709
2024-06-24,175.0,178.4599,174.15,175.01,4864735,169.322,2.8089418795619174
2024-06-25,175.14,175.7526,171.42,172.6,4119267,169.58899999999997,2.969500538520587
2024-06-26,171.28,172.68,170.41,171.87,2779016,169.715,2.95797781577531
2024-06-27,171.12,172.5,170.48,170.85,2894001,169.82366666666667,2.9473430271243304
2024-06-28,170.85,173.46,170.53,172.95,4193459,169.92066666666668,2.9310524570101606
2024-07-01,173.45,176.46,173.38,175.1,3320961,170.09366666666668,2.9823705953174646
2024-07-02,174.84,177.485,174.32,177.3,2883275,170.2893333333333,3.096482914013857
2024-07-03,177.88,177.98,175.17,175.73,1649049,170.58533333333332,3.3803965624669448
2024-07-05,175.74,176.09,173.95,176.02,2085970,170.77866666666668,3.5057496943647193
2024-07-08,176.41,178.59,176.01,177.64,2503038,170.87933333333334,3.624661633038466
2024-07-09,177.6,177.7,175.58,176.48,2513305,170.95299999999997,3.7401153863813295
2024-07-10,176.6,178.22,174.45,177.84,3462182,171.12366666666668,3.8792218232554148
2024-07-11,177.65,179.44,176.62,178.31,2807145,171.364,4.054777174029734
2024-07-12,178.56,184.16,178.5,182.83,4785565,171.716,4.208137109343343
2024-07-15,183.38,184.9,182.6,182.88,2925794,172.31,4.552799820648236
2024-07-16,184.67,186.6,184.52,185.81,3374526,172.94233333333335,4.906694008388138
2024-07-17,185.44,187.94,185.07,187.45,4225302,173.57233333333335,5.257141404520563
2024-07-18,186.64,189.47,185.1,185.22,3487808,174.307,5.494692203735443
2024-07-19,186.33,187.0,181.95,183.25,3816039,174.971,5.706985042547424
2024-07-22,183.4,184.97,182.86,184.15,2488525,175.505,5.721679130199759
2024-07-23,184.36,185.38,183.01,184.1,2180225,176.04433333333333,5.7697777900994085
2024-07-24,184.14,185.0714,183.145,184.02,6962071,176.53066666666666,5.818186666991013
2024-07-25,186.8,196.26,185.3,191.98,9532802,177.09133333333332,5.973519573245912
2024-07-26,190.51,193.57,189.622,191.75,4294875,177.73000000000002,6.350851151210016
